galaxy,variant,n_points,r_max_kpc,distance_mpc,rmse_DeltaX_absolute,rmse_DeltaX_shape,rmse_DeltaX_shape_inner,rmse_DeltaX_shape_outer,rmse_V_absolute,rmse_V_scaled,V_scale_alpha,median_DeltaX_obs,median_DeltaX_pred
UGC01281,full,25,4.99,5.27,0.6072193076802048,0.20640959975730275,0.1726150109884566,0.23271240170915136,13.8628640041317,4.2730320762705,1.5223731783064773,1.712653680640487,1.0636864022928052
UGC02023,full,5,3.78,10.4,0.2203363867956896,0.16053268928667422,0.07255358351799956,,8.997317310824485,5.645103094049783,1.212049325519564,0.9974492450653072,0.9214972048550327
UGC02259,full,8,8.14,10.5,0.9487352311532842,0.3963360932462973,0.3849614331946528,0.09485375968697338,36.014600919524376,12.401762240421688,1.739083411936107,1.9137088963442954,1.0838017161535969
UGC02455,full,8,4.03,6.92,0.525718331972671,0.10375182596090841,0.043983229441071185,0.1250900011810041,38.99415790710855,7.585739019636041,0.5058884306481299,0.4640513523855526,1.0687293216827636
UGC02487,full,17,80.38,69.1,0.30892110531076433,0.1020476193458684,0.1223287984555439,0.05661627990497478,79.92644243587235,31.308189783083435,1.261944682743631,1.4770202371733607,1.21603767611348
UGC02885,full,19,74.07,80.6,0.20709655725734874,0.16772763455476355,0.22847185940206413,0.021956242501865907,55.36878175629589,46.65757643424144,1.118063719053514,1.234867751072914,1.1993787371074935
UGC02916,full,43,38.0,65.4,0.35016246482792135,0.2482800027731018,0.2855715548204432,0.17614411818515155,62.764613874557604,41.65440790647686,0.8134737271083835,0.9735256524694385,1.074569781934455
UGC02953,full,115,62.39,16.5,0.45997794945454473,0.3278729004673904,0.4254196705838309,0.09024965376524563,92.50900673432143,54.65492203686776,0.7833298022248923,0.9296603116146539,1.1809725581064194
UGC03205,full,48,40.04,50.0,0.24830989254741104,0.21206627728826025,0.2185877809680729,0.1412452812771985,43.49092538238813,35.23280414732889,0.893602473931615,1.08881262431945,1.157895514858299
UGC03546,full,30,29.23,28.7,0.42982130838530797,0.11627486279939461,0.08062606199955022,0.051439120962389964,82.15697339492328,34.29643858147705,0.7377728871850304,0.7704509423347039,1.207530927750765
UGC03580,full,47,27.06,20.7,0.3830253116457462,0.23085223588872178,0.24470692596211827,0.18311474623348156,38.559327508915395,18.438676830862928,0.7314885595390356,0.8051000544938036,1.1561089739792214
UGC04278,full,25,6.69,9.51,0.7033861386212505,0.3558943989409221,0.256055701457936,0.3661776556782795,28.018948649829873,14.195882693718252,1.669178661639385,1.5698814589630306,1.0271167909272145
UGC04305,full,22,5.52,3.45,0.2500986945351015,0.18953268840597812,0.10248504297341336,0.04454084848448762,9.621056727484852,5.991269006742897,0.8031608755434221,0.8904250617944882,1.080335123859106
UGC04325,full,8,5.59,9.6,0.8351921498681383,0.44813827340471163,0.21059377965086257,0.2172230923562104,33.69821377861532,17.594598870319963,1.551374195552956,1.7171778053356097,0.9302957815485124
UGC04483,full,8,1.21,3.34,0.41666740919683487,0.17505673539161531,0.19410025301892822,0.06861120649405678,4.863580218210653,1.436863851701969,1.3162923841831742,1.5129293519112528,1.1177566021038032
UGC04499,full,9,8.18,12.5,0.3994732864954832,0.10173475291475004,0.1106442298334466,0.08086988575107262,17.28873372276636,4.067950171574013,1.3666388471282256,1.4843747654867467,1.0857594237290755
UGC05005,full,11,28.61,53.7,0.4580196631997573,0.10345379619976909,0.07877603554772586,0.10040177449332972,21.070011901768446,4.5461904427429545,1.3787921431118262,1.488082887810022,1.141770552616479
UGC05253,full,73,53.29,22.9,0.43957338963654896,0.23989038005207572,0.2789090038770856,0.0853509513593616,89.20786859762588,50.97709270244258,0.7636487907145196,0.8752513354988066,1.1551278317088742
UGC05414,full,6,4.11,9.4,0.24731758297174386,0.11365135581452512,0.07891534339843878,0.07247242959094631,8.513676690176318,4.074373073906485,1.1886332031563667,1.296452652930446,0.988532870646212
UGC05716,full,12,12.37,21.3,0.9979260715327751,0.23660270233844394,0.2000468603750941,0.10673128253584631,30.391260984480855,6.397566790565645,1.8404048522541097,2.165382878553604,1.166877300268698
UGC05721,full,23,6.74,6.18,0.753234155658172,0.14995133490229492,0.14929878081324016,0.1472505854188052,27.254854010027454,5.168703490502825,1.5900506550212916,2.0251910661482224,1.194145612599882
UGC05750,full,11,22.85,58.7,0.48609324358743666,0.1784862582273172,0.15030220793419583,0.2044970507314855,18.262854541219884,6.496145636270578,1.459745167936848,1.588137697106196,0.9875559288237532
UGC05764,full,10,3.62,7.47,1.656703835981833,0.7378508018066767,0.7475062032348401,0.19543552740231496,26.46838952747589,8.176073150704896,2.1933065432292747,2.528699660170096,1.0750216833621042
UGC05829,full,11,6.91,8.64,0.8809002017748152,0.34854868618599527,0.3859295084925556,0.240443968212253,22.023004717107366,7.3933985028351845,1.7478672637078048,1.7504848906708772,0.9224023775105716
UGC05918,full,8,4.46,7.66,1.1768413793633732,0.2651282268099566,0.2529614249711509,0.10853990109169671,19.484491987496668,3.368435994743398,2.1299316070968466,1.9858248390154316,0.9320088039777545
UGC05986,full,15,9.41,8.63,0.449140032763065,0.06549936372974276,0.03964179679073699,0.07796036305612916,28.839515133170597,3.8405856152109124,1.399637340532632,1.5245664532548724,1.1107437050471438
UGC05999,full,5,16.22,47.7,0.8438419156729798,0.2543963056299844,0.2161249594631864,,43.28954326371522,11.44500128183162,1.9707174866151451,1.750612881246101,0.8599652471659629
UGC06399,full,9,7.85,18.0,0.5984018094512004,0.09945866165434007,0.06921393396363346,0.12297358500749381,26.49021020671031,4.511095143224424,1.5748749844598229,1.6394975969353152,1.0390385181141661
UGC06446,full,17,10.22,12.0,0.8861715526323848,0.29795694625828767,0.2181798909722331,0.10081353854973339,31.662456963272643,9.772484003272757,1.6929657868580401,2.0106464381260625,1.156309826055329
UGC06614,full,13,64.59,88.7,0.11873707302590245,0.11861685402422381,0.08621946141122099,0.0783278894376137,20.888288036017183,20.421051890749133,0.9768919728511964,0.9195761447673121,1.1210907892473307
UGC06628,full,7,7.69,15.1,0.30883764646180567,0.22662249868539702,0.13171669706748024,0.0990507927640844,16.55917388730994,9.528839325308802,0.7386388989627569,0.8644471804230079,1.0544326999748168
UGC06667,full,9,7.85,18.0,2.2250562555995623,0.8098541015517456,0.6953600923430583,0.1814296933582796,46.004652241324706,11.611139892585904,2.7687156949295493,2.970588998042828,0.9609741895316487
UGC06786,full,45,34.05,29.3,0.20944684269451522,0.2053606551954167,0.263997686385867,0.11061943789372185,34.04870518117002,32.83358924129072,0.9589221504795296,1.0660752110004184,1.1866444297422372
